Year,Population_x100000
1956,1689
1957,1720
1958,1749
1959,1778
1960,1807
1961,1837
1962,1865
1963,1892
1964,1919
1965,1943
1966,1959
1967,1979
1968,1999
1969,2019
1970,2038
1971,2063
1972,2082
1973,2099
1974,2114
1975,2131
1979,2251
1985,2379
1989,2468
1995,2666
1999,2793
2000,2822
2001,2850
2002,2876
2003,2901
2004,2928
2005,2955
2006,2984
2007,3012
2008,3041
2009,3068
2010,3093
2011,3116
2012,3139
2013,3161
2014,3184
2015,3207
2016,3229
2017,3250
2018,3267
2019,3282